iter	Passed	Remaining
572	1396	1040
573	1398	1037
574	1400	1035
575	1403	1032
576	1405	1030
577	1407	1027
578	1409	1025
579	1411	1022
580	1414	1019
581	1416	1017
582	1418	1014
583	1421	1012
584	1424	1010
585	1426	1007
586	1428	1005
587	1431	1002
588	1433	1000
589	1436	998
590	1438	995
591	1440	993
592	1443	990
593	1445	987
594	1447	985
595	1450	983
596	1452	980
597	1455	978
598	1457	975
599	1459	973
600	1461	970
601	1464	968
602	1467	965
603	1469	963
604	1471	961
605	1474	958
606	1476	956
607	1479	953
608	1482	951
609	1484	949
610	1487	947
611	1490	944
612	1492	942
613	1495	939
614	1498	938
615	1501	936
616	1504	933
617	1506	931
618	1509	928
619	1511	926
620	1515	924
621	1517	922
622	1520	919
623	1522	917
624	1525	915
625	1528	913
626	1530	910
627	1533	908
628	1536	906
629	1538	903
630	1541	901
631	1545	899
632	1547	897
633	1549	894
634	1552	892
635	1554	889
636	1557	887
637	1559	885
638	1562	882
639	1564	880
640	1567	877
641	1569	875
642	1572	873
643	1575	870
644	1577	868
645	1580	866
646	1582	863
647	1585	861
648	1587	858
649	1590	856
650	1592	853
651	1595	851
652	1598	849
653	1600	846
654	1602	844
655	1605	841
656	1607	839
657	1609	836
658	1612	834
659	1614	831
660	1617	829
661	1620	827
662	1622	824
663	1625	822
664	1627	820
665	1630	817
666	1632	815
667	1635	812
668	1638	810
669	1640	808
670	1643	805
671	1645	803
672	1648	800
673	1651	798
674	1654	796
675	1656	794
676	1659	791
677	1661	789
678	1664	786
679	1667	784
680	1669	782
681	1672	779
682	1675	777
683	1677	775
684	1680	772
685	1683	770
686	1685	768
687	1688	765
688	1690	763
689	1692	760
690	1695	758
691	1698	755
692	1700	753
693	1703	751
694	1706	748
695	1708	746
696	1710	743
697	1713	741
698	1716	739
699	1718	736
700	1721	734
701	1723	731
702	1726	729
703	1729	727
704	1732	725
705	1735	722
706	1738	720
707	1741	718
708	1744	715
709	1747	713
710	1750	711
711	1754	709
712	1758	707
713	1762	706
714	1766	704
715	1769	701
716	1772	699
717	1776	697
718	1779	695
719	1782	693
720	1786	691
721	1789	688
722	1792	686
723	1794	684
724	1798	682
725	1800	679
726	1803	677
727	1806	675
728	1809	672
729	1812	670
730	1815	668
731	1818	665
732	1820	663
733	1823	660
734	1826	658
735	1828	656
736	1831	653
737	1834	651
738	1837	648
739	1839	646
740	1842	644
741	1845	641
742	1847	639
743	1850	636
744	1853	634
745	1856	632
746	1859	629
747	1861	627
748	1864	624
749	1867	622
750	1869	619
751	1872	617
752	1874	615
753	1877	612
754	1880	610
755	1883	607
756	1886	605
757	1888	602
758	1891	600
759	1894	598
760	1897	595
761	1899	593
762	1902	590
763	1905	588
764	1908	586
765	1910	583
766	1913	581
767	1916	578
768	1919	576
769	1922	574
770	1924	571
771	1927	569
772	1929	566
773	1932	564
774	1935	561
775	1937	559
776	1940	556
777	1942	554
778	1945	551
779	1948	549
780	1950	547
781	1953	544
782	1956	542
783	1958	539
784	1962	537
785	1965	535
786	1967	532
787	1969	529
788	1972	527
789	1974	524
790	1977	522
791	1980	520
792	1982	517
793	1985	515
794	1987	512
795	1990	510
796	1993	507
797	1995	505
798	1998	502
799	2000	500
800	2003	497
801	2006	495
802	2008	492
803	2011	490
804	2013	487
805	2016	485
806	2018	482
807	2022	480
808	2025	478
809	2028	475
810	2030	473
811	2033	470
812	2036	468
813	2039	466
814	2042	463
815	2045	461
816	2048	458
817	2052	456
818	2055	454
819	2058	451
820	2061	449
821	2064	447
822	2068	444
823	2072	442
824	2075	440
825	2079	438
826	2081	435
827	2084	433
828	2087	430
829	2090	428
830	2092	425
831	2095	423
832	2098	420
833	2100	418
834	2103	415
835	2105	413
836	2108	410
837	2111	408
838	2113	405
839	2116	403
840	2118	400
841	2121	398
842	2123	395
843	2126	393
844	2128	390
845	2131	388
846	2134	385
847	2136	382
848	2139	380
849	2141	377
850	2144	375
851	2147	372
852	2149	370
853	2152	367
854	2154	365
855	2157	362
856	2159	360
857	2162	357
858	2165	355
859	2168	353
860	2171	350
861	2174	348
862	2177	345
863	2179	343
864	2182	340
865	2185	338
866	2188	335
867	2192	333
868	2196	331
869	2199	328
870	2202	326
871	2205	323
872	2209	321
873	2212	318
874	2215	316
875	2218	314
876	2222	311
877	2225	309
878	2228	306
879	2232	304
880	2235	301
881	2238	299
882	2241	296
883	2243	294
884	2246	291
885	2250	289
886	2252	287
887	2256	284
888	2258	282
889	2261	279
890	2263	276
891	2267	274
892	2270	271
893	2272	269
894	2275	266
895	2277	264
896	2280	261
897	2283	259
898	2286	256
899	2289	254
900	2291	251
901	2294	249
902	2297	246
903	2301	244
904	2304	241
905	2308	239
906	2311	237
907	2314	234
908	2319	232
909	2324	229
910	2327	227
911	2329	224
912	2332	222
913	2335	219
914	2338	217
915	2341	214
916	2343	212
917	2346	209
918	2349	207
919	2352	204
920	2355	202
921	2357	199
922	2360	196
923	2363	194
924	2366	191
925	2369	189
926	2371	186
927	2374	184
928	2377	181
929	2380	179
930	2382	176
931	2385	174
932	2388	171
933	2390	168
934	2393	166
935	2396	163
936	2399	161
937	2402	158
938	2405	156
939	2408	153
940	2412	151
941	2415	148
942	2417	146
943	2420	143
944	2423	141
945	2426	138
946	2429	135
947	2432	133
948	2434	130
949	2437	128
950	2440	125
951	2443	123
952	2446	120
953	2448	118
954	2451	115
955	2454	112
956	2456	110
957	2459	107
958	2462	105
959	2464	102
960	2467	100
961	2470	97
962	2473	95
963	2475	92
964	2478	89
965	2480	87
966	2483	84
967	2486	82
968	2488	79
969	2491	77
970	2493	74
971	2496	71
972	2499	69
973	2502	66
974	2504	64
975	2507	61
976	2509	59
977	2512	56
978	2515	53
979	2517	51
980	2520	48
981	2522	46
982	2525	43
983	2527	41
984	2530	38
985	2532	35
986	2535	33
987	2537	30
988	2540	28
989	2543	25
990	2546	23
991	2548	20
992	2551	17
993	2553	15
994	2556	12
995	2559	10
996	2561	7
997	2566	5
998	2568	2
999	2571	0
